usage,viewportWidth,pixelRatio,imgWidth,imgVW,idealIntrinsicWidth_capped2x,idealIntrinsicWidth,intrinsicWidth
13.9%,375,3,164,44,328,492,492
13.4%,414,2,182,44,364,364,364
9.5%,390,3,171,44,342,513,0
8.6%,375,2,164,44,328,328,0
8.3%,414,3,182,44,364,546,0
6.1%,360,3,157,44,314,471,0
5.2%,428,3,189,44,378,567,0
4.1%,1920,1,773,40,773,773,0
3.7%,412,2.63,181,44,362,476.03,0
2.3%,1440,2,544,38,1088,1088,0
1.8%,1366,1,516,38,516,516,0
1.6%,360,2,157,44,314,314,0
1.5%,768,2,344,45,688,688,0
1.4%,393,2.75,173,44,346,475.75,0
1.1%,1536,1.25,581,38,726.25,726.25,0
0.8%,320,2,139,43,278,278,0
