usage,viewportWidth,pixelRatio,imgWidth,imgVW,idealIntrinsicWidth_capped2x,idealIntrinsicWidth,intrinsicWidth,renderedPxr,accuracy,isOK,waste
13.90%,320,2,139,43,278,278,364,2.62,131%,BIG (++),4.3%
13.40%,360,2,157,44,314,314,364,2.32,116%,(+),2.1%
9.50%,375,2,164,44,328,328,364,2.22,111%,(+),1.0%
8.60%,414,2,182,44,364,364,364,2.00,100%,??,0.0%
8.30%,360,3,157,44,314,471,492,3.13,104%,(+),0.4%
6.10%,393,2.75,173,44,346,475.75,492,2.84,103%,(+),0.2%
5.20%,412,2.63,181,44,362,476.03,492,2.72,103%,(+),0.2%
4.10%,375,3,164,44,328,492,492,3.00,100%,??,0.0%
3.70%,390,3,171,44,342,513,567,3.32,111%,(+),0.4%
2.30%,1366,1,516,38,516,516,567,1.10,110%,(+),0.2%
1.80%,414,3,182,44,364,546,567,3.12,104%,(+),0.1%
1.60%,428,3,189,44,378,567,567,3.00,100%,??,0.0%
1.50%,768,2,344,45,688,688,773,2.25,112%,(+),0.2%
1.40%,1536,1.25,581,38,726.25,726.25,773,1.33,106%,(+),0.1%
1.10%,1920,1,773,40,773,773,773,1.00,100%,??,0.0%
0.80%,1440,2,544,38,1088,1088,1088,2.00,100%,??,0.0%
